unitid,parent_instnm,locationtype,g_location,address,opeid,fips,sector,control,c21basic,instnm,cipcode,awlevel,ctotalt
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,510602,3,24
136473,Pensacola State College,Additional Location,Branch Campus,"5988 Highway 90, Milton, FL 32583-1798",00151300,12,1,1,23,Pensacola State College,510910,3,13
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,190709,2,10
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,240101,3,984
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,513801,3,100
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,520201,3,28
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,430103,3,27
136516,Polk State College,Additional Location,Branch Campus,"3425 Winter Lake Road, Lakeland, FL 33803",00151400,12,1,1,23,Polk State College,510911,3,16
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,510909,2,37
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,510601,2,18
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,510904,2,17
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,480508,2,15
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,510714,2,13
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,240101,3,1790
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,513801,3,123
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,110801,3,36
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,110103,3,31
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,010999,3,23
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,111003,3,23
137096,Santa Fe College,Additional Location,Branch Campus,"4150 State Road 21, Keystone Heights, FL 32656",00151900,12,1,1,14,Santa Fe College,510602,3,23
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,510909,2,37
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,510601,2,18
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,510904,2,17
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,480508,2,15
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,510714,2,13
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,240101,3,1790
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,513801,3,123
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,110801,3,36
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,110103,3,31
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,010999,3,23
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,111003,3,23
137096,Santa Fe College,Additional Location,Branch Campus,"17500 SW Archer Road, Archer, FL 32618",00151900,12,1,1,14,Santa Fe College,510602,3,23
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,510904,2,72
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,510714,2,42
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,150803,2,32
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,150000,2,20
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,111001,2,16
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,240101,3,1720
